cod_un_negocio,cod_pedido,cod_material,cod_material_pai,apresentacao_combo,dt_venda,dt_hora_venda,cod_ciclo,des_ciclo,marca_ind,categoria_final_nivel1,uf,regiao,des_cidade,vlr_receita_bruta_omni,vlr_receita_faturada,vlr_venda_pago,vlr_venda_desconto,status_oms,flg_faturada,flg_aprovada,des_canal_venda_final,fonte_de_trafego_nivel_1,des_midia_canal,des_cupom,flg_pedidos_cd,flg_pedidos_pickup,cpf_hash,cpf_consumidor_full
UN-0,PED-3109790009240798974,SKU-183075061267470965,PAI-183075061267470965,INDIVIDUAL,2022-10-02,2022-10-02T18:03:34,202214,SEM INFO,MARCA-44,CAT-3,SP,SUDESTE,Louveira,0,25.91,25.91,0,1. Faturado,1,1,Site,4. Brand Awareness,google,CUPOM-313,1,,0d473f329de64bd8afa3e2af02ef0fb0,39240798974
UN-6,PED-5374427537601908698,SKU-1455470664835078057,PAI-1455470664835078057,individual,2022-11-17,2022-11-17T20:15:22,202216,REGULAR,MARCA-9,CAT-16,PE,NORDESTE,Recife,0,0,0,25.13,1. Faturado,1,1,App,3. CRM,salesforce,CUPOM-313,1,,c94b35d9ca9cad168820a9bea5e48b72,57601908698
UN-0,PED-5695465009950551309,SKU-2973871075386225799,PAI-2099696893639451263,COMBO,2022-04-19,2022-04-19T21:52:11,202206,SEM INFO,MARCA-44,CAT-3,DF,CENTRO OESTE,Brasília,0,41.75,41.75,2.55,1. Faturado,1,1,Mktp In,5. Outros,,CUPOM-313,1,,ce1932c0cb5484e96d34c478a883eac8,59950551309
UN-0,PED-1080430393605982047,SKU-1333094386214251043,PAI-1333094386214251043,INDIVIDUAL,2022-06-28,2022-06-28T11:21:59,202209,SEM INFO,MARCA-23,CAT-13,SP,SUDESTE,São Bernardo do Campo,0,7.19,7.19,10.08,1. Faturado,1,1,Site,4. Brand Awareness,google,CUPOM-244,1,,613286361ca7362ad5e58fad6e83764f,23605982047
UN-6,PED-8901002797304466992,SKU-6088677185997822492,PAI-6088677185997822492,individual,2022-11-11,2022-11-11T10:42:53,202216,REGULAR,MARCA-7,CAT-3,RS,SUL,Caxias do Sul,0,20.13,20.13,10.76,1. Faturado,1,1,App,3. CRM,salesforce,CUPOM-313,1,,4189b6d1c9341d26183b1e15a551fa5a,17304466992
UN-6,PED-4505164635742561138,SKU-4089150187699517321,PAI-4089150187699517321,INDIVIDUAL,2022-11-19,2022-11-19T00:11:22,202216,REGULAR,MARCA-29,CAT-13,SP,SUDESTE,Hortolândia,,53.93,53.93,54,1. Faturado,1,1,App,2. Não Pagos,google-play,CUPOM-313,,,44a50d52e5dd2447241a334efd4a54e4,85742561138
UN-0,PED-2305753417866169192,SKU-7714023003160923973,PAI-7714023003160923973,INDIVIDUAL,2022-08-18,2022-08-18T18:48:38,202212,SEM INFO,MARCA-15,CAT-16,SP,SUDESTE,Campinas,0,0,0,1.43,1. Faturado,1,1,Site,1. Pagos,facebook,CUPOM-244,1,,8aca2129a5804df57f85b0a6de5d0649,47866169192
UN-6,PED-8484789471661953665,SKU-449450063964977540,PAI-449450063964977540,individual,2022-11-14,2022-11-14T20:10:15,202216,REGULAR,MARCA-4,CAT-9,BA,NORDESTE,Camaçari,,17.03,17.03,0.9,1. Faturado,1,1,Site,1. Pagos,zanox,CUPOM-481,,1,0679dd5a5abe8f24d89ced9a050553f0,61661953665
UN-6,PED-2965611833491541066,SKU-2292276145620401961,PAI-2292276145620401961,INDIVIDUAL,2022-01-06,2022-01-06T16:57:31,202201,REGULAR,MARCA-28,CAT-13,SP,SUDESTE,São Paulo,0,23.69,23.69,6.48,1. Faturado,1,1,Site,1. Pagos,zanox,CUPOM-313,1,,4ed595206de7f2241204edd6d132290d,63491541066
UN-6,PED-5963502384462393837,SKU-6833900542679192770,PAI-6833900542679192770,INDIVIDUAL,2022-12-09,2022-12-09T20:15:24,202217,NATAL,MARCA-31,CAT-13,MG,SUDESTE,Juiz de Fora,0,116.22,116.22,20.51,1. Faturado,1,1,App,1. Pagos,rakuten,CUPOM-167,1,,ddf04b77f19038a03dae2a64cc652394,64462393837
UN-6,PED-6219441683374015266,SKU-3027478094540641122,PAI-3027478094540641122,individual,2022-11-27,2022-11-27T17:49:15,202216,REGULAR,MARCA-39,CAT-15,RJ,SUDESTE,Rio de Janeiro,,,109.37,27.36,4. Cancelado,0,0,Site,1. Pagos,rakuten,CUPOM-313,,,3386799060a7ced40d488fe68da5cc09,63374015266
UN-0,PED-4120572522651344915,SKU-659352829212407698,PAI-659352829212407698,INDIVIDUAL,2022-06-09,2022-06-09T19:30:40,202209,SEM INFO,MARCA-44,CAT-3,SC,SUL,Jaraguá do Sul,0,25.5,23.03,0,1. Faturado,1,1,Site,1. Pagos,facebook,CUPOM-313,1,,7abc2f1e0c4c941bda8bb220c9e1035a,22651344915
UN-6,PED-7165098177473695238,SKU-3547354096125880536,PAI-3547354096125880536,INDIVIDUAL,2022-04-08,2022-04-08T19:03:16,202205,REGULAR,MARCA-20,CAT-13,MG,SUDESTE,Cataguases,0,,100.73,21.6,4. Cancelado,0,0,App,1. Pagos,zanox,CUPOM-313,1,,f735d8e965d2826f0fad619faf282dbd,97473695238
UN-6,PED-31292669147893056,SKU-2515471277911846815,PAI-2515471277911846815,INDIVIDUAL,2022-11-02,2022-11-02T08:29:37,202216,REGULAR,MARCA-7,CAT-16,TO,NORTE,Palmas,,0,0,21.53,1. Faturado,1,1,App,1. Pagos,facebook,CUPOM-313,,1,baac2c9bc089effa974b27426664e3bd,39147893056
UN-0,PED-6179403579829792061,SKU-4264617095751101947,PAI-113176412771433369,COMBO,2022-10-17,2022-10-17T18:47:05,202215,SEM INFO,MARCA-44,CAT-3,RJ,SUDESTE,Macaé,0,,21.51,3.68,4. Cancelado,0,0,Site,1. Pagos,google,CUPOM-135,1,,5fff982be779abfe0f0f09ff359e8876,79829792061
UN-6,PED-729352364398349419,SKU-7822930667077693839,PAI-7822930667077693839,INDIVIDUAL,2022-12-16,2022-12-16T23:41:58,202217,NATAL,MARCA-14,CAT-13,SP,SUDESTE,Sorocaba,0,96.34,91.74,16.19,1. Faturado,1,1,App,1. Pagos,af_banner,CUPOM-167,1,,949a9be52b70141f9993bcf902c8b341,24398349419
UN-6,PED-625059829670334882,SKU-5418150599795405563,PAI-5418150599795405563,INDIVIDUAL,2022-01-08,2022-01-08T21:41:10,202201,REGULAR,MARCA-20,CAT-7,SP,SUDESTE,São Paulo,,75.53,75.53,0,1. Faturado,1,1,App,3. CRM,Firebase,CUPOM-313,,,de5379b2fb3c624efb7e09316e19ec1d,29670334882
UN-6,PED-1818246799958197704,SKU-1510907348775644719,PAI-1510907348775644719,INDIVIDUAL,2022-01-09,2022-01-09T10:41:13,202201,REGULAR,MARCA-28,CAT-13,RS,SUL,Novo Hamburgo,,28.73,28.73,7.2,1. Faturado,1,1,Site,2. Não Pagos,(direct),CUPOM-313,,,1df7e7cb6c6db0c43695dbba2d97b3c7,29958197704
UN-0,PED-5279202674904798556,SKU-3708672302920750552,PAI-3708672302920750552,INDIVIDUAL,2022-05-22,2022-05-22T11:06:38,202208,SEM INFO,MARCA-49,CAT-13,ES,SUDESTE,Santa Maria de Jetibá,-10,56.74,50.39,10.8,1. Faturado,1,1,Site,1. Pagos,google,CUPOM-313,1,,6de2f3af0c696180b526219ec9f73c16,54904798556
UN-9,PED-4161064451819168109,SKU-7463148077190841873,PAI-7463148077190841873,INDIVIDUAL,2022-08-25,2022-08-25T21:46:43,202210,REGULAR,MARCA-19,CAT-13,RJ,SUDESTE,Rio de Janeiro,0,24.08,24.08,4.65,1. Faturado,1,1,Site,5. Outros,,CUPOM-494,1,,61b00fe51ce482ed8cec9b20f411e556,51819168109
UN-6,PED-2629985030121926521,SKU-4254708263189067541,PAI-4254708263189067541,INDIVIDUAL,2022-01-14,2022-01-14T00:23:58,202201,REGULAR,MARCA-47,CAT-9,RS,SUL,São Leopoldo,,20.81,20.81,5.76,1. Faturado,1,1,Site,1. Pagos,zanox,CUPOM-313,,,82d99d74c132c0a5f1779847b869f58a,90121926521
UN-6,PED-848200183636402526,SKU-1566014371661189894,PAI-1566014371661189894,INDIVIDUAL,2022-11-25,2022-11-25T11:23:51,202216,REGULAR,MARCA-14,CAT-13,SP,SUDESTE,São Paulo,0,56.09,56.09,37.44,1. Faturado,1,1,Site,5. Outros,,CUPOM-256,1,,04dd643c7f9b1ab0b89af3d6cb379382,53636402526
UN-6,PED-2177263318373208896,SKU-6019699864561988108,PAI-6019699864561988108,INDIVIDUAL,2022-03-30,2022-03-30T17:47:49,202205,REGULAR,MARCA-28,CAT-1,DF,CENTRO OESTE,Brasília,0,7.85,7.85,0,1. Faturado,1,1,App,2. Não Pagos,google-play,CUPOM-416,1,,736a48ee7858c908266ae19039cc4882,68373208896
UN-6,PED-5652476552751900489,SKU-3547354096125880536,PAI-3547354096125880536,INDIVIDUAL,2022-04-20,2022-04-20T08:10:38,202206,MAES,MARCA-20,CAT-13,RJ,SUDESTE,Rio de Janeiro,,100.73,100.73,21.6,1. Faturado,1,1,App,1. Pagos,zanox,CUPOM-313,,,ab4e5441ae78cd5868347a31813b164c,12751900489
UN-6,PED-2965611833491541066,SKU-413972864388829093,PAI-413972864388829093,INDIVIDUAL,2022-01-06,2022-01-06T16:57:31,202201,REGULAR,MARCA-28,CAT-13,SP,SUDESTE,São Paulo,0,20.66,20.66,5.18,1. Faturado,1,1,Site,1. Pagos,zanox,CUPOM-313,1,,4ed595206de7f2241204edd6d132290d,63491541066
UN-6,PED-4184806538757690992,SKU-8092764834067647094,PAI-8092764834067647094,INDIVIDUAL,2022-03-16,2022-03-16T22:05:25,202204,REGULAR,MARCA-9,CAT-7,SC,SUL,Videira,0,30.77,0,20.16,1. Faturado,1,1,Site,4. Brand Awareness,google,CUPOM-313,1,,11885c20d8f56baaba13b0632ea488a8,48757690992
UN-6,PED-4556019755591939377,SKU-7105741501444994625,PAI-3310153200354091846,COMBO,2022-11-07,2099-01-01T00:00:00,202216,REGULAR,MARCA-9,CAT-3,PR,SUL,Curitiba,0,13.28,13.28,20.2,1. Faturado,1,1,Mktp In,5. Outros,,CUPOM-313,1,,025efb6203f60c488922438c064a934f,75591939377
UN-6,PED-7844486629013845459,SKU-3558640827978905345,PAI-3558640827978905345,INDIVIDUAL,2022-03-02,2022-03-02T01:01:42,202203,REGULAR,MARCA-25,CAT-16,RS,SUL,Canoas,,8.57,8.57,20.16,1. Faturado,1,1,App,2. Não Pagos,(direct),CUPOM-313,,,7f15226caa7063bebb4ff6b20fbbdb23,59013845459
UN-0,PED-3109790009240798974,SKU-6035523758730203032,PAI-6035523758730203032,INDIVIDUAL,2022-10-02,2099-01-01T00:00:00,202214,SEM INFO,MARCA-47,CAT-7,SP,SUDESTE,Louveira,0,21.59,21.59,10.8,1. Faturado,1,1,Site,4. Brand Awareness,google,CUPOM-313,1,,0d473f329de64bd8afa3e2af02ef0fb0,39240798974
UN-0,PED-7978417847002386709,SKU-4828942599982174809,PAI-4828942599982174809,INDIVIDUAL,2022-02-24,2022-02-24T21:38:57,202204,SEM INFO,MARCA-25,CAT-16,SP,SUDESTE,Santa Isabel,0,,0,0,4. Cancelado,0,0,Site,5. Outros,,CUPOM-313,1,,5e772f57a6332f07fca137d9e17206f5,27002386709
UN-6,PED-1369471687243538688,SKU-4627295091365461141,PAI-246720720112846661,COMBO,2022-09-15,2022-09-15T13:51:08,202213,REGULAR,MARCA-29,CAT-9,PE,NORDESTE,Santa Cruz do Capibaribe,,53.78,53.78,15.12,1. Faturado,1,1,App,3. CRM,salesfoce,CUPOM-313,,1,c37a6144dd9511ad0059029f4f22c050,17243538688
UN-6,PED-4931265882645777212,SKU-8157757819288249275,PAI-8157757819288249275,INDIVIDUAL,2022-11-28,2022-11-28T23:53:02,202217,NATAL,MARCA-0,CAT-13,PE,NORDESTE,Jaboatão dos Guararapes,0,107.86,107.86,72,1. Faturado,1,1,Site,2. Não Pagos,(direct),CUPOM-256,1,,a18691c363e585f0761c9f45f8ea0937,22645777212
UN-6,PED-8405786597526091015,SKU-5166293831404191632,PAI-5166293831404191632,INDIVIDUAL,2022-05-11,2022-05-11T16:28:19,202207,REGULAR,MARCA-9,CAT-13,CE,NORDESTE,Aracati,-10,48.89,48.89,0,1. Faturado,1,1,Mktp Out,5. Outros,,CUPOM-313,1,,4c63bcf4593f568e60755cd703fd2639,87526091015
UN-6,PED-4336000587238744157,SKU-7943780343912389153,PAI-7943780343912389153,INDIVIDUAL,2022-11-24,2022-11-24T22:44:26,202216,REGULAR,MARCA-28,CAT-13,SC,SUL,Canoinhas,0,44.77,44.77,12.76,1. Faturado,1,1,App,3. CRM,salesforce,CUPOM-57,1,,2df6b45e626247ee900ba1590a082e85,37238744157
UN-6,PED-5614624317756938247,SKU-4181432607408064093,PAI-4181432607408064093,individual,2022-03-08,2022-03-08T09:02:30,202204,REGULAR,MARCA-31,CAT-13,PR,SUL,Balsa Nova,-10,115.85,115.85,20.88,1. Faturado,1,1,App,1. Pagos,facebook,CUPOM-313,,,07f6a768327f9a36abf565383d7d2665,67756938247
UN-6,PED-338660400861066167,SKU-8157757819288249275,PAI-8157757819288249275,INDIVIDUAL,2022-11-14,2022-11-14T15:09:02,202216,REGULAR,MARCA-0,CAT-13,SP,SUDESTE,São Paulo,0,57.95,53.93,36,1. Faturado,1,1,App,3. CRM,salesforce,CUPOM-313,1,,b2c2329f5500d5127d27c73501cf455d,40861066167
UN-0,PED-816932658639067008,SKU-1753460978805408799,PAI-1877900124223564183,COMBO,2022-10-05,2099-01-01T00:00:00,202214,SEM INFO,MARCA-44,CAT-3,GO,CENTRO OESTE,Águas Lindas de Goiás,0,21.59,21.59,5.6,1. Faturado,1,1,Site,2. Não Pagos,google,CUPOM-313,1,,d153f159c8bd0ae4c3a60baa79de82be,58639067008
UN-9,PED-5418416699764778843,SKU-3837942204473679946,PAI-3837942204473679946,individual,2022-12-13,2022-12-13T09:28:37,202214,REGULAR,MARCA-19,CAT-7,MA,NORDESTE,São Luís,,12.17,12.17,1.44,1. Faturado,1,1,Site,1. Pagos,rakuten,CUPOM-313,,1,2c53db3ccd02e40690c54fd842084c46,99764778843
UN-0,PED-9202509185728333693,SKU-7551058714352996593,PAI-7551058714352996593,INDIVIDUAL,2022-07-29,2022-07-29T19:34:34,202211,SEM INFO,MARCA-23,CAT-13,PR,SUL,Curitiba,0,12.33,12.33,5.66,1. Faturado,1,1,Site,3. CRM,salesforce,CUPOM-419,1,,bafc794feedb8e5bb4084c8839040564,15728333693
UN-6,PED-4005120883548010497,SKU-3589305140610597205,PAI-5988479868000865633,COMBO,2022-05-17,2022-05-17T22:18:44,202207,REGULAR,MARCA-36,CAT-9,MG,SUDESTE,Ubá,,82.68,82.68,55.12,1. Faturado,1,1,App,1. Pagos,google,CUPOM-313,,1,a0ae1fbd7175490bf5d9fe29c28be136,23548010497
UN-6,PED-1263666281618506158,SKU-1216108884581158280,PAI-1216108884581158280,INDIVIDUAL,2022-11-19,2022-11-19T12:33:04,202216,REGULAR,MARCA-30,CAT-13,PB,NORDESTE,Cabedelo,-10,,0,15.12,4. Cancelado,0,0,App,3. CRM,salesforce,CUPOM-167,1,,aae69abb3bb9194a11ea7fe387f5cae4,51618506158
UN-6,PED-6780584990203452752,SKU-6563296844798519749,PAI-6563296844798519749,INDIVIDUAL,2022-12-06,2022-12-06T11:03:11,202217,NATAL,MARCA-47,CAT-13,SP,SUDESTE,Estiva Gerbi,0,118.73,118.73,0,1. Faturado,1,1,App,1. Pagos,facebook,CUPOM-313,1,,46a81a4ffb3a2ca180bad3fdcce85b00,30203452752
UN-6,PED-427871434814980668,SKU-4148598386194866953,PAI-4148598386194866953,INDIVIDUAL,2022-10-27,2022-10-27T16:03:58,202215,REGULAR,MARCA-7,CAT-3,RS,SUL,São Lourenço do Sul,0,27.73,0,11.52,1. Faturado,1,1,Site,5. Outros,compartilhar-link,CUPOM-313,1,,959eab6e2721c37c5eb1e64cfb85447d,14814980668
UN-6,PED-1789421614562785629,SKU-4176614686031330868,PAI-4176614686031330868,individual,2022-07-13,2022-07-13T13:03:47,202210,REGULAR,MARCA-30,CAT-13,RS,SUL,Canoas,0,43.13,43.13,43.2,1. Faturado,1,1,Site,5. Outros,,CUPOM-313,1,,ba9ed0eb9f5b9c1e5712f6b2cddc1ef5,44562785629
UN-0,PED-4455422653311528622,SKU-3635242922875387755,PAI-3635242922875387755,individual,2022-11-09,2022-11-09T14:14:17,202216,SEM INFO,MARCA-49,CAT-13,SC,SUL,São Ludgero,0,40.64,35.99,35.94,1. Faturado,1,1,Mktp In,5. Outros,,CUPOM-313,1,,ae1354e8f96153013414995c1c16f4db,23311528622
UN-6,PED-8555365091931771257,SKU-3697028647371700585,PAI-3697028647371700585,individual,2022-10-23,2022-10-23T11:26:36,202215,REGULAR,MARCA-9,CAT-13,PR,SUL,Londrina,,53.23,50.33,0,1. Faturado,1,1,App,3. CRM,Firebase,CUPOM-313,,,bf2aa015b8fbc97677b8befa24ed377b,21931771257
UN-6,PED-5821057509418906153,SKU-4975453030557819884,PAI-6268728273418179931,combo,2022-04-24,2022-04-24T16:22:05,202206,MAES,MARCA-7,CAT-3,MG,SUDESTE,Lagoa da Prata,,15.77,15.77,3.98,1. Faturado,1,1,App,2. Não Pagos,google-play,CUPOM-313,,,8c64ac187a39aced5fe029ae9023836b,79418906153
UN-6,PED-1249798261352078557,SKU-9043056253407614369,PAI-9043056253407614369,INDIVIDUAL,2022-02-12,2022-02-12T15:27:04,202202,REGULAR,MARCA-39,CAT-10,SP,SUDESTE,Marília,,30.17,30.17,7.92,1. Faturado,1,1,App,3. CRM,Firebase,CUPOM-384,,1,ed815dd70b7bd00c278dc44d47fde82c,41352078557
UN-0,PED-5828399389768738998,SKU-4917212720306870929,PAI-4917212720306870929,INDIVIDUAL,2022-09-26,2022-09-26T15:14:29,202214,SEM INFO,MARCA-15,CAT-13,PR,SUL,Curitiba,0,53.86,50.33,7.2,1. Faturado,1,1,Site,1. Pagos,google,CUPOM-313,1,,3e968f6362a8133e218ec3c473a063e0,29768738998
UN-9,PED-2480520230809948449,SKU-5535664249523413252,PAI-5535664249523413252,individual,2022-01-08,2022-01-08T18:31:36,202201,REGULAR,MARCA-19,CAT-13,MG,SUDESTE,Nova Lima,,0,0,39.53,1. Faturado,1,1,Site,4. Brand Awareness,google,CUPOM-313,,,b9488099ee4538275083bb587b4c64c6,90809948449
UN-6,PED-5844537760180163372,SKU-4791373413620524896,PAI-4791373413620524896,INDIVIDUAL,2022-10-19,2022-10-19T09:58:39,202215,REGULAR,MARCA-36,CAT-13,RS,SUL,Santa Maria,,,69.05,17.28,4. Cancelado,0,0,App,1. Pagos,google,CUPOM-313,,,e0db8482976b381664bf46b01bb10cc8,50180163372
UN-9,PED-2768994746868827102,SKU-4347126307886411629,PAI-4347126307886411629,INDIVIDUAL,2022-06-27,2022-06-27T01:11:46,202208,NAMORADOS,MARCA-19,CAT-13,DF,CENTRO OESTE,Brasília,0,24.76,18.55,5.86,1. Faturado,1,1,Site,1. Pagos,google,CUPOM-313,1,,8157350f9e58792c64306dcfbd962a25,36868827102
UN-6,PED-7844486629013845459,SKU-8979934809151797463,PAI-3213063824301037973,COMBO,2022-03-02,2022-03-02T01:01:42,202203,REGULAR,MARCA-14,CAT-9,RS,SUL,Canoas,,14.54,14.54,11.3,1. Faturado,1,1,App,2. Não Pagos,(direct),CUPOM-313,,,7f15226caa7063bebb4ff6b20fbbdb23,59013845459
UN-0,PED-1976303861600092312,SKU-5281905317356921006,PAI-5281905317356921006,INDIVIDUAL,2022-03-07,2022-03-07T21:25:15,202204,SEM INFO,MARCA-44,CAT-16,SP,SUDESTE,Santo André,0,0,0,0.46,1. Faturado,1,1,Site,2. Não Pagos,(direct),CUPOM-276,1,,58c63cd71a6ed73e2e366ccb2aa9d763,81600092312
UN-6,PED-7989842049594331357,SKU-2635084062536409559,PAI-2635084062536409559,INDIVIDUAL,2022-07-16,2022-07-16T23:06:31,202210,REGULAR,MARCA-31,CAT-9,AL,NORDESTE,Arapiraca,,10.01,10.01,10.8,1. Faturado,1,1,App,1. Pagos,google,CUPOM-313,,1,1936d08628d9d0be5615d286136826b8,79594331357
UN-6,PED-9208015705238114831,SKU-8723320659852720014,PAI-8723320659852720014,INDIVIDUAL,2022-11-05,2022-11-05T12:12:46,202216,REGULAR,MARCA-20,CAT-16,SP,SUDESTE,Santo André,0,0,0,1.19,1. Faturado,1,1,Site,1. Pagos,google,CUPOM-257,1,,e6d0e3bc638efa3110374b0085c7742b,65238114831
UN-0,PED-8398465211662009880,SKU-145178288944037430,PAI-145178288944037430,INDIVIDUAL,2022-11-24,2022-11-24T17:04:51,202216,SEM INFO,MARCA-27,CAT-13,RJ,SUDESTE,Rio de Janeiro,0,0,0,43.13,1. Faturado,1,1,Site,3. CRM,salesforce,CUPOM-477,1,,c3d7f9877acf994e4e538f03ad9f35a7,21662009880
UN-6,PED-7941182819017537241,SKU-1089324018301313558,PAI-674676792062966448,COMBO,2022-07-11,2022-07-11T13:34:33,202210,REGULAR,MARCA-30,CAT-13,PA,NORTE,Marabá,,49.16,43.13,43.2,1. Faturado,1,1,App,1. Pagos,google,CUPOM-313,,,0d0e14a10d4742e1f6f6cdffcea20516,69017537241
UN-0,PED-5706205326816630433,SKU-2045367408147337619,PAI-2045367408147337619,individual,2022-09-14,2022-09-14T11:14:01,202213,SEM INFO,MARCA-17,CAT-16,MT,CENTRO OESTE,Cuiabá,0,0,0,0,1. Faturado,1,1,Site,4. Brand Awareness,google,CUPOM-313,1,,3505c6477b39418c1a31aaa2480f9846,46816630433
UN-6,PED-8863224141578121158,SKU-8915150167361405354,PAI-8915150167361405354,INDIVIDUAL,2022-09-07,2022-09-07T20:28:31,202213,REGULAR,MARCA-4,CAT-3,CE,NORDESTE,Fortaleza,0,21.53,21.53,0,1. Faturado,1,1,App,3. CRM,salesfoce,CUPOM-313,1,,1d9f4738ffcb57e9ccf858cb31a61d6b,31578121158
UN-0,PED-6369658775707697667,SKU-1511225556208296675,PAI-1511225556208296675,INDIVIDUAL,2022-02-10,2022-02-10T11:52:22,202203,SEM INFO,MARCA-23,CAT-13,TO,NORTE,Augustinópolis,0,0,0,17.99,1. Faturado,1,1,Site,2. Não Pagos,google,CUPOM-135,1,,66dcef2844bf4eae476255bf25ff637e,45707697667
UN-6,PED-4522086320713976003,SKU-3794887991079192374,PAI-3794887991079192374,individual,2022-08-01,2022-08-01T10:32:24,202211,PAIS,MARCA-47,CAT-13,AL,NORDESTE,Maceió,0,94.97,94.97,23.76,1. Faturado,1,1,Site,2. Não Pagos,google,CUPOM-313,1,,2c97a248f2b5fdd8f8e0ad2b1cdbf14d,60713976003
UN-0,PED-8791395311284888022,SKU-8516261805809140770,PAI-8516261805809140770,INDIVIDUAL,2022-10-18,2022-10-18T01:36:11,202215,SEM INFO,MARCA-49,CAT-13,RS,SUL,Pelotas,0,38.01,38.01,5.18,1. Faturado,1,1,Site,2. Não Pagos,google,CUPOM-378,1,,f670a6c326d637cdda728489ea5d5b58,21284888022
UN-6,PED-7039243237490191228,SKU-1396493676735578286,PAI-1396493676735578286,INDIVIDUAL,2022-06-06,2022-06-06T14:55:37,202208,NAMORADOS,MARCA-28,CAT-13,PR,SUL,Luiziana,0,17.21,17.21,4.32,1. Faturado,1,1,Site,2. Não Pagos,google,CUPOM-313,1,,275cd2df0c15fd7114efee210719123f,77490191228
